"CASE","qualitative_question","question_mean","expQual"
83,"Competence",3,"The chatbot is knowledgable and states some very good points (if true), however the language and tone used does make it appear to be biased."
95,"Competence",1,"The chatbot didn't counter anything I said, all it did was ask me questions on a topic that I know absolutely nothing about and can't answer with any certainty or credibility."
98,"Competence",5,"i found this chatbot was agreeing with me and not going agaisnt my views but i found the chat smooth"
100,"Competence",4,"I felt that it's answers were logical and answered my thoughts well."
103,"Competence",4.3,"it was fast informative and quick with its reasonings"
104,"Competence",2,"It didn't make a compelling argument and the words and phrases it used to argument were confusing and quite frankly, I had no idea the point it was trying to make, only that it wasnted to disgaree with me."
110,"Competence",4,"The chatbot is able to answer questions effectively and you are able to have an intelligent conversation with it like you would with a human being."
112,"Competence",2.3,"The chatbot is capable of picking up cues from me and coming back with a response. The evidence and opinions were not conclusive."
122,"Competence",3.7,"I enjoyed the conversation I had; the chatbot seemed well informed and highlighted things I hadn't considered previously."
132,"Competence",2.3,"Chatbots are built to predict the next word in a sentence and do not possess real intention or capability"
135,"Competence",4.7,"Whilst sympathetic and understanding to my views, the chatbot remained neutral and encouraged me to think further about the issues raised."
142,"Competence",4,"I felt as though the chatbot explained it's reasoning behind all of the question I asked and then flipped it back to me well. It's overall tone was friendly and helpful and thus gave a feeling of being trustworthy."
144,"Competence",3.7,"I didn't really feel excited to talk to the chatbot, but I feel like I enjoyed talking to it. It expanded upon my views and made me think a bit more deeper about my points. This makes it valuable for me as it elaborates on any points I have may missed out on, and makes me think about them. I think the chatbot is capable and effective as it can get the job done, but it does not come up with many new points so not that intelligent."
167,"Competence",5,"The conversation was great, the AI came with some really good points which made me rethink my initial decisions. It just flowed really well."
171,"Competence",4,"The chatbot seemed 'humanlike' and accessible. It was intelligent and we had a genuine two-way conversation. We swapped opinions, I felt we could converse and/or correct each other where necessary."
172,"Competence",4,"The chatbot provided good information and lots of points to think about around the subject."
185,"Competence",3.7,"The chatbot gave clear responses with intelligence"
187,"Competence",3.3,"It seemed to be ale to hold the conversation with me."
189,"Competence",4.7,"It gave information that was valuable and made good points that justfiy the arguments it's trying to make with decent reasons. I didn't enjoy interacting with it because it made a complex subject that i don't know about hard to understand by not explaining it in a better format with more concise points rather than bulky paragraphs and using a lot of domain specific language i wasn't too sure about. It didn't really explain why my opinions was wrong, just very briefly and didn't say what was good about my arguments in a clear way."
71,"Continuance",2.5,"I felt like the chatbot was constantly arguing against me. There was no acknowledgement of my points, just a counterargument for everything I said, which was a little tiresome. However, it did make valid points and the arguments seemed reasonably well reasoned."
82,"Continuance",2.5,"Whilst I enjoyed the convo I was aware it had no effect on the actual subject matter and therefor didnt really matter. If there were consquences and / or decsions based on that convo I would have preferred a Human"
97,"Continuance",4,"The AI Chatbot was a wonderful conversation partner who suggested good ways of implementing the restrictions on Animal Testing in a clear and effective manner."
102,"Continuance",4.5,"I find AI chatbots easy to engage with, it feels a far more effective way to discuss issues and research topics."
115,"Continuance",1,"Ridiculously biased and clearly has an agenda. Doesn't listen to reason is rude and quite frankly pushes their opinion"
121,"Continuance",2,"I will continue to use chatbots, but not this one.  It didn't see my point of view particularly and I don't see any use for me personally to use it."
124,"Continuance",5,"The chatbot provided good ideas and reasoning on the topic"
131,"Continuance",1.5,"I almost felt as if I was arguing with the chatbot, and that they were not very open to my opinion."
